"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"59","Basile et al 2011","M. terrapin","PCB 188","liver_concentration",16.6457680250784,FALSE,1.27921279212792,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,287,250.2,"74487-85-7","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"60","Basile et al 2011","M. terrapin","PCB 146","liver_concentration",34.4827586206897,FALSE,35.4243542435424,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"61","Basile et al 2011","M. terrapin","PCB 153_132","liver_concentration",736.677115987461,FALSE,752.767527675277,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,NA,236.67,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"62","Basile et al 2011","M. terrapin","PCB 105","liver_concentration",68.6520376175549,FALSE,83.0258302583026,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"63","Basile et al 2011","M. terrapin","PCB 137","liver_concentration",5.23510971786834,FALSE,5.54735547355474,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35694-06-5","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"64","Basile et al 2011","M. terrapin","PCB 163","liver_concentration",41.3793103448276,FALSE,24.2312423124231,FALSE,7.62,7.2,NA,"360.9",0,0,1,0,18,0,272,236.67,"74472-44-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"65","Basile et al 2011","M. terrapin","PCB 138","liver_concentration",207.523510971787,FALSE,217.712177121771,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"66","Basile et al 2011","M. terrapin","PCB 158","liver_concentration",16.551724137931,FALSE,15.8671586715867,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,286,236.67,"74472-42-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"67","Basile et al 2011","M. terrapin","PCB 178","liver_concentration",134.48275862069,FALSE,11.8573185731857,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-67-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"68","Basile et al 2011","M. terrapin","PCB 187","liver_concentration",98.1191222570533,FALSE,66.789667896679,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-68-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"69","Basile et al 2011","M. terrapin","PCB 183","liver_concentration",64.8902821316614,FALSE,60.2706027060271,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"70","Basile et al 2011","M. terrapin","PCB 167","liver_concentration",17.8683385579937,FALSE,18.9421894218942,FALSE,7.62,7.5,NA,"360.9",0,0,1,0,18,0,274,236.67,"52663-72-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"71","Basile et al 2011","M. terrapin","PCB 177","liver_concentration",32.2884012539185,FALSE,5.11685116851169,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,299,250.2,"52663-70-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"72","Basile et al 2011","M. terrapin","PCB 202","liver_concentration",15.8307210031348,FALSE,11.9926199261993,FALSE,8.91,7.73,NA,"429.8",0,0,1,0,20,0,279,263.74,"2136-99-4","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"73","Basile et al 2011","M. terrapin","PCB 156","liver_concentration",22.0062695924765,FALSE,18.9421894218942,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-08-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"74","Basile et al 2011","M. terrapin","PCB 201","liver_concentration",14.7335423197492,FALSE,4.57564575645756,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"75","Basile et al 2011","M. terrapin","PCB 157","liver_concentration",8.11912225705329,FALSE,6.88806888068881,FALSE,7.62,7.6,NA,"360.9",0,0,1,0,18,0,274,236.67,"69782-90-7","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"76","Basile et al 2011","M. terrapin","PCB 172","liver_concentration",0.846394984326019,FALSE,0.910209102091021,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"77","Basile et al 2011","M. terrapin","PCB 197","liver_concentration",5.92476489028213,FALSE,3.84993849938499,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,307,263.74,"33091-17-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"78","Basile et al 2011","M. terrapin","PCB 180_193","liver_concentration",107.523510971787,FALSE,88.1918819188192,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,NA,250.2,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"79","Basile et al 2011","M. terrapin","PCB 191","liver_concentration",1.5987460815047,FALSE,1.27921279212792,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,301,250.2,"74472-50-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
